Posicion,Codigo Equipo,Nombre Equipo,Victorias,Email
1,G2,G2 Esports,5,contact@g2esports.com
2,KOI,KOI Team,3,info@koi.gg
3,VIT,Team Vitality,1,hello@vitality.gg
4,AST,Astralis,1,info@astralis.gg
5,LNG,LNG Esports,1,contact@lng.gg
6,RNG,Royal Never Give Up,1,contact@rng.gg
7,TSM,TSM,1,contact@tsm.gg
8,BDS,Team BDS,1,contact@teambds.ch
9,LOUD,LOUD,1,contato@loud.gg
10,RGE,Rogue,1,info@rogue.gg
11,NoExiste,Equipo Desconocido,1,N/A
12,KC,Karmine Corp,1,contact@karminecorp.fr
13,SEN,Sentinels,1,info@sentinels.gg
14,T1,T1,1,contact@t1.gg
