Codigo,Nombre Completo,Email Contacto,Numero Jugadores
G2,G2 Esports,contact@g2esports.com,5
KOI,KOI Team,info@koi.gg,6
FNC,Fnatic,manager@fnatic.com,5
VIT,Team Vitality,hello@vitality.gg,5
HRTS,Team Heretics,info@heretics.com,7
MAD,MAD Lions,contact@madlions.com,5
RGE,Rogue,info@rogue.gg,5
SK,SK Gaming,info@sk-gaming.com,6
XL,Excel Esports,contact@xl.gg,5
BDS,Team BDS,contact@teambds.ch,5
AST,Astralis,info@astralis.gg,5
MSF,Misfits Gaming,contact@misfitsgaming.gg,6
KC,Karmine Corp,contact@karminecorp.fr,5
TH,Team Liquid,info@teamliquid.com,5
C9,Cloud9,info@cloud9.gg,5
TSM,TSM,contact@tsm.gg,5
TL,Team Liquid,support@teamliquid.com,5
NRG,NRG Esports,contact@nrg.gg,6
SEN,Sentinels,info@sentinels.gg,5
LOUD,LOUD,contato@loud.gg,5
GEN,Gen.G,contact@geng.gg,5
T1,T1,contact@t1.gg,5
DRX,DRX,contact@drx.gg,5
EDG,EDward Gaming,contact@edg.gg,6
RNG,Royal Never Give Up,contact@rng.gg,5
FPX,FunPlus Phoenix,contact@fpx.gg,5
IG,Invictus Gaming,contact@ig.gg,5
LNG,LNG Esports,contact@lng.gg,5
TES,Top Esports,contact@tes.gg,5
JDG,JD Gaming,contact@jdg.gg,5
JDG,Repetido,repe@repe.es,5
