Codigo,Nombre,Pais Origen,Num Integrantes,Email
MCR,My Chemical Romance,USA,4,contact@mcr.com
MUSE,Muse,UK,3,info@muse.mu
DAFT,Daft Punk,France,2,contact@daftpunk.com
EMINEM,Eminem,USA,1,info@eminem.com
JAZZ5,The Jazz Collective,USA,5,contact@jazzcollective.com
FOO,Foo Fighters,USA,6,info@foofighters.com
COLDPLAY,Coldplay,UK,4,contact@coldplay.com
AVICII,Avicii,Sweden,1,info@avicii.com
KENDRICK,Kendrick Lamar,USA,1,contact@kendricklamar.com
MILES,Miles Davis Tribute,USA,7,tribute@milesdavis.com
LINKIN,Linkin Park,USA,5,info@linkinpark.com
ARIANA,Ariana Grande,USA,1,contact@arianagrande.com
MARTIN,Martin Garrix,Netherlands,1,info@martingarrix.com
TRAVIS,Travis Scott,USA,1,contact@travisscott.com
HERBIE,Herbie Hancock,USA,1,info@herbiehancock.com
