Codigo,Nombre Artistico,Email Manager,Numero Integrantes
LP,Linkin Park,manager@linkinpark.com,6
TSTM,The Strokes,info@thestrokes.com,5
RHCP,Red Hot Chili Peppers,contact@rhcp.com,4
FOO,Foo Fighters,manager@foofighters.com,6
MUSE,Muse,info@muse.mu,3
TS,Taylor Swift,contact@taylorswift.com,1
ED,Ed Sheeran,manager@edsheeran.com,1
BILLIE,Billie Eilish,info@billieeilish.com,1
BTS,BTS,contact@bts.com,7
COLD,Coldplay,manager@coldplay.com,4
DAFT,Daft Punk,info@daftpunk.com,2
CALVIN,Calvin Harris,contact@calvinharris.com,1
AVII,Avicii,manager@avicii.com,1
MART,Martin Garrix,info@martingarrix.com,1
TIESTO,Tiesto,contact@tiesto.com,1
IM,Imagine Dragons,manager@imaginedragons.com,4
AJ,Arctic Monkeys,info@arcticmonkeys.com,4
QN,Queen,contact@queen.com,4
ACDC,ACDC,manager@acdc.com,5
GUNS,Guns N Roses,info@gunsnroses.com,5
ARIANA,Ariana Grande,contact@arianagrande.com,1
DRAKE,Drake,manager@drake.com,1
ADELE,Adele,info@adele.com,1
BEY,Beyonce,contact@beyonce.com,1
RIHANA,Rihanna,manager@rihanna.com,1
WEEKND,The Weeknd,info@theweeknd.com,1
POST,Post Malone,contact@postmalone.com,1
TRAVIS,Travis Scott,manager@travisscott.com,1
SKRILL,Skrillex,info@skrillex.com,1
DEADM,Deadmau5,contact@deadmau5.com,1
DEADM,Repetido,repe@repe.es,1
